,name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
57,iss,25544,45.139615365946,-2.7885907191508,415.63181094247,27609.912352679,daylight,4485.1729726959,1686648229,2460108.8915394,23.205307019112,39.052150150141,kilometers
58,iss,25544,45.62988726864,-1.5592794745083,415.72699745269,27609.930733406,daylight,4485.6601386163,1686648245,2460108.8917245,23.205317491193,38.985493183683,kilometers
59,iss,25544,46.134377887157,-0.2285755554455,415.8260695295,27609.944936508,daylight,4486.1671225752,1686648262,2460108.8919213,23.20532861752,38.914670177799,kilometers
60,iss,25544,46.564990440207,0.96662351154467,415.91155433125,27609.95310935,daylight,4486.6045200295,1686648277,2460108.8920949,23.205338434654,38.852179250835,kilometers
61,iss,25544,47.008804945093,2.2632202129449,416.00057558931,27609.957521688,daylight,4487.0599572278,1686648293,2460108.8922801,23.205348906034,38.785522284453,kilometers
62,iss,25544,47.436111200713,3.5821325954378,416.08720217729,27609.957685415,daylight,4487.5030891899,1686648309,2460108.8924653,23.20535937718,38.718865318086,kilometers
63,iss,25544,47.871461586779,5.0077259808755,416.17644049287,27609.95342063,daylight,4487.9595255893,1686648326,2460108.892662,23.205370502539,38.648042144684,kilometers
64,iss,25544,48.263096446059,6.3719953484031,416.25763000639,27609.945425824,daylight,4488.3747448894,1686648342,2460108.8928472,23.205380973203,38.581385178372,kilometers
65,iss,25544,48.613845629419,7.670522356602,416.33114639922,27609.934588266,daylight,4488.7506820096,1686648357,2460108.8930208,23.205390789241,38.518894251523,kilometers
66,iss,25544,48.969996996983,9.0760166252864,416.40665870588,27609.919626901,daylight,4489.1367856546,1686648373,2460108.893206,23.205401259451,38.452237285239,kilometers
67,iss,25544,49.307101268836,10.502035042534,416.47904137138,27609.901316558,daylight,4489.5068491351,1686648389,2460108.8933912,23.205411729428,38.385580318994,kilometers
68,iss,25544,49.605405685984,11.856997945122,416.54394508952,27609.881249578,daylight,4489.8386442021,1686648404,2460108.8935648,23.205421544822,38.323089392208,kilometers
69,iss,25544,49.904235288819,13.320863219568,416.60991015995,27609.856892837,daylight,4490.1758344504,1686648420,2460108.89375,23.205432014345,38.256432425992,kilometers
70,iss,25544,50.182631762393,14.803078529199,416.67239446463,27609.829627979,daylight,4490.4952038323,1686648436,2460108.8939352,23.205442483661,38.189775292198,kilometers
71,iss,25544,50.424679699682,16.208476504322,416.72771852351,27609.801545249,daylight,4490.7779527409,1686648451,2460108.8941088,23.20545229841,38.127284365468,kilometers
72,iss,25544,50.662257030204,17.723456756797,416.7831664549,27609.769019245,daylight,4491.0613129979,1686648467,2460108.894294,23.205462767247,38.060627399335,kilometers
73,iss,25544,50.865324554257,19.157655234307,416.83172894945,27609.736217455,daylight,4491.3094681522,1686648482,2460108.8944676,23.205472581572,37.998136472653,kilometers
74,iss,25544,51.060610220101,20.701126620517,416.8798028377,27609.698868968,daylight,4491.5551100852,1686648498,2460108.8946528,23.205483049955,37.931479506556,kilometers
